artist,style,movement,tags,url,img,file_name,genre_list,Artwork,Date
Panayiotis Tetsis,Impressionism,Post-Impressionism,,https://www.wikiart.org/en/panayiotis-tetsis/sunset,https://uploads3.wikiart.org/images/panayiotis-tetsis/sunset.jpg,127519-sunset.jpg,['cloudscape'],,
Henry Scott Tuke,Impressionism,Impressionism,"['Fun', 'Vacation', 'summer']",https://www.wikiart.org/en/henry-scott-tuke/the-bathers-1922,https://uploads5.wikiart.org/00261/images/henry-scott-tuke/henry-scott-tuke-the-bathers-1922.jpg!Large.jpg,100529-henry-scott-tuke-the-bathers-1922.jpg,['genre painting'],,
Alfred Sisley,Impressionism,Impressionism,"['fires-and-floods', 'forests-and-trees', 'Bank', 'Waterway', 'Naturallandscape', 'Tree', 'Bayou', 'River']",https://www.wikiart.org/en/alfred-sisley/the-flood-on-the-road-to-saint-germain-1876,https://uploads1.wikiart.org/images/alfred-sisley/the-flood-on-the-road-to-saint-germain-1876.jpg!Large.jpg,92312-the-flood-on-the-road-to-saint-germain-1876.jpg,['landscape'],,
Camille Pissarro,Impressionism,Impressionism,"['Grassland', 'Meadow', 'Pasture', 'Plain']",https://www.wikiart.org/en/camille-pissarro/rolling-landscape-in-winter-1875,https://uploads2.wikiart.org/images/camille-pissarro/rolling-landscape-in-winter-1875.jpg!Large.jpg,90106-rolling-landscape-in-winter-1875.jpg,['landscape'],,
Guy Rose,Impressionism,Impressionism,"['seas-and-oceans', 'cliffs-and-rocks', 'Bank', 'Sky']",https://www.wikiart.org/en/guy-rose/grey-afternoon,https://uploads3.wikiart.org/images/guy-rose/grey-afternoon.jpg!Large.jpg,104411-grey-afternoon.jpg,['landscape'],,
Ilya Mashkov,Impressionism,Post-Impressionism,"['female-portraits', 'Lady']",https://www.wikiart.org/en/ilya-mashkov/portrait-of-a-girl-1904,https://uploads7.wikiart.org/images/ilya-mashkov/portrait-of-a-girl-1904.jpg!Large.jpg,122889-portrait-of-a-girl-1904.jpg,['portrait'],,
Max Liebermann,Impressionism,Impressionism,"['villas-and-residences', 'Tree', 'Bayou', 'Naturallandscape', 'Naturalenvironment', 'Woodland', 'House']",https://www.wikiart.org/en/max-liebermann/villa,https://uploads0.wikiart.org/images/max-liebermann/villa.jpg!Large.jpg,96880-villa.jpg,['landscape'],,
Frederick McCubbin,Impressionism,Impressionism,['Outhouse'],https://www.wikiart.org/en/frederick-mccubbin/girl-with-bird-at-the-king-street-bakery-1886,https://uploads3.wikiart.org/00287/images/frederick-mccubbin/girl-with-bird-at-the-king-street-bakery-1886.jpg!Large.jpg,99193-girl-with-bird-at-the-king-street-bakery-1886.jpg,['cityscape'],,
Basuki Abdullah,Impressionism,Realism,,https://www.wikiart.org/en/basuki-abdullah/the-fruit-market,https://uploads2.wikiart.org/images/basuki-abdullah/the-fruit-market.jpg,77862-the-fruit-market.jpg,['genre painting'],,
Stefan Luchian,Impressionism,Impressionism,"['Flower', 'Gardenroses', 'Plant', 'Bouquet']",https://www.wikiart.org/en/stefan-luchian/vase-with-carnations-1907,https://uploads2.wikiart.org/images/stefan-luchian/vase-with-carnations-1907.jpg!Large.jpg,104738-vase-with-carnations-1907.jpg,['still life'],,
Theo van Rysselberghe,Impressionism,Neo-Impressionism,"['male-portraits', 'mirrors', 'Gentleman']",https://www.wikiart.org/en/theo-van-rysselberghe/portrait-of-octave-maus-1885,https://uploads3.wikiart.org/images/theo-van-rysselberghe/portrait-of-octave-maus-1885.jpg!Large.jpg,111830-portrait-of-octave-maus-1885.jpg,['portrait'],,
Claude Monet,Impressionism,Impressionism,"['Sky', 'Atmosphere']",https://www.wikiart.org/en/claude-monet/waterloo-bridge,https://uploads8.wikiart.org/images/claude-monet/waterloo-bridge.jpg!Large.jpg,93885-waterloo-bridge.jpg,['cityscape'],,
Julian Alden Weir,Impressionism,Impressionism,"['arts-and-crafts', 'childrenportraits']",https://www.wikiart.org/en/julian-alden-weir/girl-knitting,https://uploads2.wikiart.org/images/julian-alden-weir/girl-knitting.jpg!Large.jpg,98553-girl-knitting.jpg,['genre painting'],,
Camille Pissarro,Impressionism,Impressionism,,https://www.wikiart.org/en/camille-pissarro/mother-presle-montfoucault-1874,https://uploads1.wikiart.org/images/camille-pissarro/mother-presle-montfoucault-1874.jpg!Large.jpg,90075-mother-presle-montfoucault-1874.jpg,['portrait'],,
John Henry Twachtman,Impressionism,Impressionism,"['rivers-and-waterfalls', 'Sky']",https://www.wikiart.org/en/john-henry-twachtman/waterfall-in-yellowstone,https://uploads7.wikiart.org/images/john-henry-twachtman/waterfall-in-yellowstone.jpg!Large.jpg,98808-waterfall-in-yellowstone.jpg,['landscape'],,
Joaquín Sorolla,Impressionism,Impressionism,['jungles-and-tropics'],https://www.wikiart.org/en/joaqu-n-sorolla/furnace-of-elche-palm,https://uploads8.wikiart.org/images/joaquin-sorolla/furnace-of-elche-palm.jpg!Large.jpg,103470-furnace-of-elche-palm.jpg,['landscape'],,
Paul Gauguin,Impressionism,Symbolism,"['furniture-and-decoration', 'musical-instruments', 'Pluckedstringinstruments']",https://www.wikiart.org/en/paul-gauguin/mandolin-on-a-chair-1880,https://uploads8.wikiart.org/images/paul-gauguin/mandolin-on-a-chair-1880.jpg!Large.jpg,80985-mandolin-on-a-chair-1880.jpg,['still life'],,
Arkhyp Kuindzhi,Impressionism,Realism,"['flowers-and-plants', 'rivers-and-waterfalls', 'Dnieper', 'Naturallandscape', 'Meadow', 'Tree', 'Plant']",https://www.wikiart.org/en/arkhip-kuindzhi/dnieper-1901-1,https://uploads1.wikiart.org/images/arkhip-kuindzhi/dnieper-1901-1.jpg!Large.jpg,68872-dnieper-1901-1.jpg,['landscape'],,
Edgar Degas,Impressionism,Realism,['Balletdancer'],https://www.wikiart.org/en/edgar-degas/group-of-dancers-tree-d%C3%A9cor,https://uploads1.wikiart.org/images/edgar-degas/group-of-dancers-tree-décor.jpg!Large.jpg,66428-group-of-dancers-tree-décor.jpg,['genre painting'],,
Lilla Cabot Perry,Impressionism,Impressionism,"['Lady', 'Sitting']",https://www.wikiart.org/en/lilla-cabot-perry/playing-by-heart-1897,https://uploads1.wikiart.org/images/lilla-cabot-perry/playing-by-heart-1897.jpg!Large.jpg,97029-playing-by-heart-1897.jpg,['genre painting'],,
Eugene Boudin,Impressionism,Impressionism,"['animals', 'countryside', 'horses', 'Stable', '1880spaintingsfromFrance']",https://www.wikiart.org/en/eugene-boudin/horses-for-hire-in-a-yard,https://uploads1.wikiart.org/images/eugene-boudin/horses-for-hire-in-a-yard.jpg!Large.jpg,89440-horses-for-hire-in-a-yard.jpg,['animal painting'],,
Frederick McCubbin,Impressionism,Impressionism,"['Peopleinnature', 'Tree', 'Woodland', 'Romance', 'Forest']",https://www.wikiart.org/en/frederick-mccubbin/bush-idyll-1893,https://uploads5.wikiart.org/images/frederick-mccubbin/bush-idyll-1893.jpg!Large.jpg,99199-bush-idyll-1893.jpg,['genre painting'],,
John Henry Twachtman,Impressionism,Impressionism,"['winter', 'forests-and-trees']",https://www.wikiart.org/en/john-henry-twachtman/winter-silence-1900,https://uploads2.wikiart.org/images/john-henry-twachtman/winter-silence-1900.jpg!Large.jpg,98879-winter-silence-1900.jpg,['landscape'],,
Edgar Degas,Impressionism,Realism,['Balletdancer'],https://www.wikiart.org/en/edgar-degas/dancers-practicing-at-the-barre-1877,https://uploads1.wikiart.org/images/edgar-degas/dancers-practicing-at-the-barre-1877.jpg!Large.jpg,66045-dancers-practicing-at-the-barre-1877.jpg,['genre painting'],,
Willard Metcalf,Impressionism,Impressionism,"['summer', 'rivers-and-waterfalls', 'forests-and-trees', 'Naturallandscape', 'River', 'Stream', 'Bank', 'Mountainriver', 'Watercourse', 'Waterway']",https://www.wikiart.org/en/willard-metcalf/brook-in-june,https://uploads0.wikiart.org/images/willard-metcalf/brook-in-june.jpg!Large.jpg,100724-brook-in-june.jpg,['landscape'],,
Camille Pissarro,Impressionism,Impressionism,['Village'],https://www.wikiart.org/en/camille-pissarro/a-street-in-pontoise-1879,https://uploads4.wikiart.org/images/camille-pissarro/a-street-in-pontoise-1879.jpg!Large.jpg,90175-a-street-in-pontoise-1879.jpg,['landscape'],,
